
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
8.0.56242      Microsoft .NET Core SDK - 2.0.3 (x64)                                                                          Microsoft Corporation                              5 {A013E843-0B9B-4870-9B74-2A41E8665703}
8.25.7391      Microsoft .NET Core SDK - 2.1.100 (x64)                                                                        Microsoft Corporation                              5 {47DFE540-73A6-491F-9A52-8041E9E41A46}
8.25.23808     Microsoft .NET Core SDK - 2.1.101 (x64)                                                                        Microsoft Corporation                              5 {F0A029A5-1494-4628-87E8-DFAB82803735}
8.25.56606     Microsoft .NET Core SDK - 2.1.103 (x64)                                                                        Microsoft Corporation                              5 {28A964AD-33DD-4EF4-B6AD-98CAD3EBB184}
8.26.7469      Microsoft .NET Core SDK - 2.1.104 (x64)                                                                        Microsoft Corporation                              5 {9D74F95A-D776-4A75-BE4A-DE80D09E8C09}
8.26.23873     Microsoft .NET Core SDK - 2.1.105 (x64)                                                                        Microsoft Corporation                              5 {A625530A-D9CB-4EE2-8295-4F3CEEC2E3D9}
8.16.39996     Microsoft .NET Core SDK - 2.1.2 (x64)                                                                          Microsoft Corporation                              5 {40A1CDDA-8F34-4A60-9259-280CC7BA4AB9}
8.50.7609      Microsoft .NET Core SDK - 2.1.200 (x64)                                                                        Microsoft Corporation                              5 {EDAEAACC-348D-4480-80E7-8007DF2452DC}
8.50.24001     Microsoft .NET Core SDK - 2.1.201 (x64)                                                                        Microsoft Corporation                              5 {8EEE3845-EED8-4BB6-BAF5-3454A0F3E3D2}
8.50.40411     Microsoft .NET Core SDK - 2.1.202 (x64)                                                                        Microsoft Corporation                              5 {0EC8A4AE-29FE-43B9-90C8-4D8D7D62393C}
8.17.7260      Microsoft .NET Core SDK - 2.1.4 (x64)                                                                          Microsoft Corporation                              5 {04570DFE-949F-4308-8375-15CF9CC73C02}
8.91.8884      Microsoft .NET Core SDK 2.1.300 (x64)                                                                          Microsoft Corporation                              5 {25F5C0BA-9639-4DF2-8C30-EEACA7CC761E}
8.91.25290     Microsoft .NET Core SDK 2.1.301 (x64)                                                                          Microsoft Corporation                              5 {11E5A48E-42CA-4E73-BE16-19466DF32F2B}
8.91.41715     Microsoft .NET Core SDK 2.1.302 (x64)                                                                          Microsoft Corporation                              5 {053B2AB1-739F-4921-93A2-0411827BEBCE}
8.116.9197     Microsoft .NET Core SDK 2.1.400 (x64)                                                                          Microsoft Corporation                              5 {FA2E3CCB-4297-42D1-ABC2-01AE6F6098A7}
8.116.25613    Microsoft .NET Core SDK 2.1.401 (x64)                                                                          Microsoft Corporation                              5 {CD6A933B-DEEE-4517-BA76-6F91DFD8CF11}
8.116.42015    Microsoft .NET Core SDK 2.1.402 (x64)                                                                          Microsoft Corporation                              5 {1DF4EB4D-455A-4018-B19D-42074D27357E}
8.116.58436    Microsoft .NET Core SDK 2.1.403 (x64)                                                                          Microsoft Corporation                              5 {ADA70C3D-0ADD-4173-8B77-B501300515D9}
8.125.9411     Microsoft .NET Core SDK 2.1.500 (x64)                                                                          Microsoft Corporation                              5 {A84C1878-3BA0-4D53-BDCF-BF3CC4E434B5}
8.125.42190    Microsoft .NET Core SDK 2.1.502 (x64)                                                                          Microsoft Corporation                              5 {BA468311-E7D1-4226-9F27-61EC895EB46F}
